"Question","Answer 1","Answer 2","Answer 3","Answer 4","Time limit (sec)","Correct answer(s)"
"Was bedeutet der Name „Tergar“ übersetzt?","Berg der Stille","Schatz und Ort der Zusammenkunft","Weg des Herzens","","30","2"
"In welcher Stadt wurde Tergar Deutschland e.V. im März 2016 offiziell gegründet?","Berlin","München","Nürnberg","","30","3"
"Wie viele Menschen nahmen kurz nach der Vereinsgründung an der ersten Veranstaltung mit Mingyur Rinpoche in Nürnberg teil?","150 Menschen","500 Menschen","1.200 Menschen","","30","2"
"Auf wie viele lokale Praxisgruppen ist die Gemeinschaft in Deutschland, Österreich und der Schweiz angewachsen?","Genau 10","Über 30","Mehr als 100","","30","2"
"Mit welcher persönlichen Herausforderung arbeitete Mingyur Rinpoche mithilfe von Meditation in seiner Kindheit?","Panikattacken","Chronische Schlaflosigkeit","Prüfungsangst","","30","1"
"Wie alt war Mingyur Rinpoche, als er darauf bestand, sein erstes traditionelles Drei-Jahres-Retreat zu beginnen?","13 Jahre","18 Jahre","25 Jahre","","30","1"
"Wie lange dauerte Mingyur Rinpoches berühmtes „Wander-Retreat“, während dessen er unerkannt als Bettler lebte?","1 Jahr","4 Jahre","10 Jahre","","30","2"
"Welchen humorvollen Titel gaben die Medien Mingyur Rinpoche häufig nach wissenschaftlichen Untersuchungen seines Gehirns?","Der weise Wanderer","Der glücklichste Mensch der Welt","Der Meister der Stille","","30","2"
"An welcher Universität wurden Mingyur Rinpoches Gehirnwellen wissenschaftlich untersucht?","Harvard University","University of Wisconsin-Madison","Universität Berlin","","30","2"
"Welcher wissenschaftliche Begriff beschreibt die Fähigkeit des Gehirns, sich durch regelmäßige Meditation physisch zu verändern?","Neuro-Stabilität","Neuroplastizität","Gedankenresonanz","","30","2"
"Mit wie viel täglicher formeller Praxis empfiehlt Tergar Anfänger:innen zu beginnen?","10 Minuten","45 Minuten","1 Stunde","","30","1"
"Welches Motto empfiehlt Tergar, um Meditation in einen vollen Alltag zu integrieren?","Eine Stunde, einmal täglich","Nur, wenn du dich gestresst fühlst","Kurz und oft","","30","3"
"Was ist laut Mingyur Rinpoche der beste Weg, mit dem „Affengeist“, also unruhigen Gedanken, umzugehen?","Ihn vollständig ignorieren","Ihm einen „Job“ geben","Ihn zwingen, still zu sein","","30","2"
"In einer bekannten Tergar Analogie: Wenn der Körper mit einem Pferd verglichen wird, was ist dann der Geist?","Die Kutsche","Der Reiter","Der Stall","","30","2"
"Wie solltest du dich bei der Tergar Gehmeditation idealerweise bewegen?","Extrem langsam","So natürlich wie möglich","Nur auf Zehenspitzen","","30","2"
"Wie viele Stufen umfasst das Programm „Joy of Living“?","3 Stufen","5 Stufen","7 Stufen","","30","1"
"Was ist das zentrale Thema und Herzstück der Kursebene „Joy of Living 2“?","Den Geist beruhigen","Liebe und Mitgefühl","Weisheit erwecken","","30","2"
"Worauf verweist der Begriff „grundlegende Güte“?","Dass wir uns immer vollkommen verhalten müssen","Dass unsere wahre Natur bereits rein und gut ist","Dass wir erst nach Jahren der Praxis gut werden","","30","2"
"Womit vergleicht Mingyur Rinpoche das „Heimweh nach unserer wahren Natur“?","Mit einem verlorenen Schlüssel","Mit einem Vogel, der sein Nest verlassen hat","Mit einem Schiff ohne Kompass","","30","2"
"Was ist die übergeordnete Mission, die alle Aktivitäten von Tergar Deutschland trägt?","Größere Zentren bauen","Menschen dabei unterstützen, in Gewahrsein, Mitgefühl und Weisheit zu leben","Tibetische Geschichte unterrichten","","30","2"
